,Abyssinian,American Bulldog,American Pit Bull Terrier,Basset Hound,Beagle,Bengal,Birman,Bombay,Boxer,British Shorthair,Chihuahua,Egyptian Mau,English Cocker Spaniel,English Setter,German Shorthaired,Great Pyrenees,Havanese,Japanese Chin,Keeshond,Leonberger,Maine Coon,Miniature Pinscher,Newfoundland,Persian,Pomeranian,Pug,Ragdoll,Russian Blue,Saint Bernard,Samoyed,Scottish Terrier,Shiba Inu,Siamese,Sphynx,Staffordshire Bull Terrier,Wheaten Terrier,Yorkshire Terrier
Russian Blue,1,2,1,0,0,3,4,5,0,21,1,3,0,0,6,0,0,3,9,2,1,3,6,0,0,8,1,2,1,0,2,3,4,8,0,0,0
Saint Bernard,0,2,1,0,9,0,0,0,3,0,2,1,0,5,4,1,1,13,0,2,2,2,1,2,0,11,10,0,7,1,0,2,10,3,0,3,2
Samoyed,0,5,1,0,1,0,2,0,0,1,0,1,0,1,0,9,0,2,0,0,1,0,0,5,1,5,21,0,0,28,0,5,0,7,0,4,0
Scottish Terrier,0,1,2,0,1,0,0,12,1,4,0,1,0,0,5,1,0,1,5,2,4,6,31,1,0,3,2,0,2,2,3,0,3,4,2,0,0
Shiba Inu,1,0,3,0,2,8,0,0,4,0,2,1,0,0,1,1,0,2,0,3,4,2,1,4,8,0,8,0,1,2,0,18,1,12,0,4,7
Siamese,1,2,3,0,0,2,6,4,2,3,2,3,1,0,2,0,0,3,3,2,2,1,5,5,0,10,12,0,1,1,0,3,8,10,0,1,2
Sphynx,0,1,0,1,0,2,0,0,0,4,3,2,0,1,0,2,0,3,1,0,5,3,0,6,0,3,10,1,1,4,0,7,3,28,0,2,7
Staffordshire Bull Terrier,1,2,2,1,4,5,0,0,3,4,1,1,3,3,18,2,0,1,2,4,2,1,8,1,1,2,2,0,1,1,0,4,3,2,3,0,1
Wheaten Terrier,0,2,1,0,0,2,3,0,4,5,1,2,0,0,3,7,1,3,1,1,1,2,1,6,1,3,8,0,1,3,0,6,2,18,0,8,4
Yorkshire Terrier,0,0,5,0,7,5,0,0,3,0,2,0,0,1,4,1,1,0,0,6,7,10,3,5,0,3,0,0,1,0,0,6,1,11,2,3,13
